c_arinsee,nom,prix_m2_2024,prix_m2_2023,prix_m2_2022
75101,1er Arrondissement,17500,17200,17000
75102,2e Arrondissement,12800,12650,12500
75103,3e Arrondissement,13200,13000,12900
75104,4e Arrondissement,14000,13800,13700
75105,5e Arrondissement,13100,12950,12800
75106,6e Arrondissement,16000,15800,15500
75107,7e Arrondissement,15500,15300,15000
75108,8e Arrondissement,12900,12700,12600
75109,9e Arrondissement,11800,11600,11500
75110,10e Arrondissement,10500,10300,10100
75111,11e Arrondissement,10900,10750,10600
75112,12e Arrondissement,9800,9600,9500
75113,13e Arrondissement,9900,9700,9600
75114,14e Arrondissement,10700,10500,10400
75115,15e Arrondissement,10200,10000,9900
75116,16e Arrondissement,11900,11700,11600
75117,17e Arrondissement,11000,10800,10700
75118,18e Arrondissement,9700,9550,9400
75119,19e Arrondissement,9000,8800,8700
75120,20e Arrondissement,9300,9100,9000
