TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
SANISETTE;;23 BD DE SEBASTOPOL;75001;24/24h;Oui;Non;;"{""coordinates"": [[2.348837291743346, 48.859880009699]], ""type"": ""MultiPoint""}";48.859880009699, 2.348837291743346
SANISETTE;;19 AV VICTORIA;75001;24/24h;Oui;Non;;"{""coordinates"": [[2.346546000463207, 48.85797799960644]], ""type"": ""MultiPoint""}";48.85797799960644, 2.346546000463207
SANISETTE;;109 BD DE SEBASTOPOL;75002;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.352738999879689, 48.86683600014275]], ""type"": ""MultiPoint""}";48.86683600014275, 2.352738999879689
SANISETTE;;34 RUE DU GRENIER SAINT-LAZARE;75003;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.3527375754066404, 48.86310049921555]], ""type"": ""MultiPoint""}";48.86310049921555, 2.3527375754066404
SANISETTE;;1 AV CHARLES RISLER;75007;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.300448430216667, 48.8550086702999]], ""type"": ""MultiPoint""}";48.8550086702999, 2.300448430216667
SANISETTE;;12 ALL THOMY-THIERRY;75007;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.29647335602558, 48.856408667091344]], ""type"": ""MultiPoint""}";48.856408667091344, 2.29647335602558
SANISETTE;;2 AV DE BOUVINES;75011;24/24h;Oui;Non;;"{""coordinates"": [[2.396263709726177, 48.84955890034039]], ""type"": ""MultiPoint""}";48.84955890034039, 2.396263709726177
SANISETTE;;28 RUE DU GENERAL GUILHEM;75011;6h00  - 01h00;Oui;Non;;"{""coordinates"": [[2.379077444929717, 48.86230178931773]], ""type"": ""MultiPoint""}";48.86230178931773, 2.379077444929717
SANISETTE;;47 V BD VOLTAIRE;75011;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.3710217801851257, 48.86339431995135]], ""type"": ""MultiPoint""}";48.86339431995135, 2.3710217801851257
SANISETTE;;124 AV DU GENERAL MICHEL BIZOT;75012;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.4046253902759087, 48.840437950402396]], ""type"": ""MultiPoint""}";48.840437950402396, 2.4046253902759087
SANISETTE;;18 RUE ERARD;75012;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.384912972073826, 48.84560120476427]], ""type"": ""MultiPoint""}";48.84560120476427, 2.384912972073826
SANISETTE;;60 V BD SAINT-MARCEL;75013;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.3556394432228274, 48.837917259583676]], ""type"": ""MultiPoint""}";48.837917259583676, 2.3556394432228274
SANISETTE;;11 AV MAURICE D'OCAGNE;75014;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.3113320770311945, 48.824990362260834]], ""type"": ""MultiPoint""}";48.824990362260834, 2.3113320770311945
SANISETTE;;15 AV DU GENERAL LECLERC;75014;6h00  - 01h00;Oui;Non;;"{""coordinates"": [[2.330892799644393, 48.83231752026011]], ""type"": ""MultiPoint""}";48.83231752026011, 2.330892799644393
SANISETTE;;148 RUE DE LA CONVENTION;75015;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.291312959369181, 48.83951925438511]], ""type"": ""MultiPoint""}";48.83951925438511, 2.291312959369181
SANISETTE;;277 RUE DE VAUGIRARD;75015;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.301967340001457, 48.83967060897521]], ""type"": ""MultiPoint""}";48.83967060897521, 2.301967340001457
SANISETTE;;4 V AV PAUL DOUMER;75016;24/24h;Oui;Non;;"{""coordinates"": [[2.2863897801713504, 48.86215396969058]], ""type"": ""MultiPoint""}";48.86215396969058, 2.2863897801713504
SANISETTE;;25 AV DE CLICHY;75017;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.3263190502369855, 48.88566793999978]], ""type"": ""MultiPoint""}";48.88566793999978, 2.3263190502369855
SANISETTE;;24 PL CHARLES FILLION;75017;24/24h;Oui;Non;;"{""coordinates"": [[2.3157873495308134, 48.88848120036745]], ""type"": ""MultiPoint""}";48.88848120036745, 2.3157873495308134
SANISETTE;;96 BD BARBES;75018;24/24h;Oui;Non;;"{""coordinates"": [[2.349719392561825, 48.89147643788821]], ""type"": ""MultiPoint""}";48.89147643788821, 2.349719392561825
SANISETTE;;52 QU DE LA LOIRE;75019;24/24h;Oui;Non;;"{""coordinates"": [[2.375797710272781, 48.88580046025125]], ""type"": ""MultiPoint""}";48.88580046025125, 2.375797710272781
SANISETTE;;9 AV DE LA PORTE DE MENILMONTANT;75020;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.4091877394738552, 48.87072469031389]], ""type"": ""MultiPoint""}";48.87072469031389, 2.4091877394738552
SANISETTE;;1 RUE DE BUZENVAL;75020;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.402572690060961, 48.849111889963396]], ""type"": ""MultiPoint""}";48.849111889963396, 2.402572690060961
SANISETTE;;58 AV DU PROFESSEUR ANDRE LEMIERRE;75020;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.414721757553042, 48.85834670022397]], ""type"": ""MultiPoint""}";48.85834670022397, 2.414721757553042
SANISETTE;;64 RUE DU VOLGA;75020;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.4089765693744964, 48.852744600229045]], ""type"": ""MultiPoint""}";48.852744600229045, 2.4089765693744964
URINOIR;;RUE BOSSUET;75010;;Non;Non;;"{""coordinates"": [[2.3523454278624807, 48.878782534922934]], ""type"": ""MultiPoint""}";48.878782534922934, 2.3523454278624807
LAVATORY;;place de la Madeleine;75008;10h/18h;;;;"{""coordinates"": [[2.324805261449435, 48.86950302299618]], ""type"": ""MultiPoint""}";48.86950302299618, 2.324805261449435
SANISETTE;;117 RUE MONTMARTRE;75002;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.3432268798902363, 48.86876107961352]], ""type"": ""MultiPoint""}";48.86876107961352, 2.3432268798902363
SANISETTE;;10b RUE DE MOUSSY;75004;24/24h;Oui;Non;;"{""coordinates"": [[2.3558231751507304, 48.857838826525686]], ""type"": ""MultiPoint""}";48.857838826525686, 2.3558231751507304
SANISETTE;;14 RUE SAINT-MARTIN;75004;24/24h;Oui;Non;;"{""coordinates"": [[2.349798140633793, 48.85820816963101]], ""type"": ""MultiPoint""}";48.85820816963101, 2.349798140633793
SANISETTE;;8 RUE D'ARCOLE;75004;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.3493967701433607, 48.85402526033694]], ""type"": ""MultiPoint""}";48.85402526033694, 2.3493967701433607
SANISETTE;;4 AV FRANKLIN D. ROOSEVELT;75008;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.3102039829026175, 48.870154408466966]], ""type"": ""MultiPoint""}";48.870154408466966, 2.3102039829026175
SANISETTE;;1 AV DE VERDUN;75010;24/24h;Oui;Non;;"{""coordinates"": [[2.3614031698854454, 48.876295040260096]], ""type"": ""MultiPoint""}";48.876295040260096, 2.3614031698854454
SANISETTE;;35 RUE ALIBERT;75010;6h00  - 01h00;Oui;Non;;"{""coordinates"": [[2.369601819449488, 48.87232357037209]], ""type"": ""MultiPoint""}";48.87232357037209, 2.369601819449488
SANISETTE;;131 BD DE CHARONNE;75011;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.3924468693368377, 48.857471239658345]], ""type"": ""MultiPoint""}";48.857471239658345, 2.3924468693368377
SANISETTE;;3 BD DE L'HOPITAL;75013;24/24h;Oui;Non;;"{""coordinates"": [[2.364351495785611, 48.8430900982869]], ""type"": ""MultiPoint""}";48.8430900982869, 2.364351495785611
SANISETTE;;42 RUE MIRABEAU;75016;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.269067673806836, 48.84598982455429]], ""type"": ""MultiPoint""}";48.84598982455429, 2.269067673806836
SANISETTE;;2 V PL AIME MAILLART;75017;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.2955318704563696, 48.88150258030886]], ""type"": ""MultiPoint""}";48.88150258030886, 2.2955318704563696
SANISETTE;;2 RUE MONTCALM;75018;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.3352347129046858, 48.891793842657734]], ""type"": ""MultiPoint""}";48.891793842657734, 2.3352347129046858
SANISETTE;;60 V BD DE LA CHAPELLE;75018;24/24h;Oui;Non;;"{""coordinates"": [[2.3551063093276956, 48.88419763026975]], ""type"": ""MultiPoint""}";48.88419763026975, 2.3551063093276956
SANISETTE;;8 RUE DU LIEUTENANT-COLONEL DAX;75018;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.340244949688719, 48.900707840162134]], ""type"": ""MultiPoint""}";48.900707840162134, 2.340244949688719
SANISETTE;;59 RUE DES CLOYS;75018;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.336828316949709, 48.89346588547636]], ""type"": ""MultiPoint""}";48.89346588547636, 2.336828316949709
SANISETTE;;69 AV DE FLANDRE;75019;24/24h;Oui;Non;;"{""coordinates"": [[2.3739278903065597, 48.88869616961867]], ""type"": ""MultiPoint""}";48.88869616961867, 2.3739278903065597
SANISETTE;;171 RUE DES PYRENEES;75020;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.4010307407580225, 48.860019473421566]], ""type"": ""MultiPoint""}";48.860019473421566, 2.4010307407580225
SANISETTE;;2 RUE MAX ERNST;75020;6h00  - 22h00;Oui;Non;;"{""coordinates"": [[2.387734405041768, 48.8659772081648]], ""type"": ""MultiPoint""}";48.8659772081648, 2.387734405041768
SANISETTE;;39 RUE JEAN-JACQUES ROUSSEAU;75001;24/24h;Oui;Non;;"{""coordinates"": [[2.3418321593376605, 48.86316461967931]], ""type"": ""MultiPoint""}";48.86316461967931, 2.3418321593376605
SANISETTE;;10 RUE D'ARCOLE;75004;24/24h;Oui;Non;;"{""coordinates"": [[2.3492422105544235, 48.85381594968281]], ""type"": ""MultiPoint""}";48.85381594968281, 2.3492422105544235
SANISETTE;;118 RUE SAINT-MARTIN;75004;24/24h;Oui;Non;;"{""coordinates"": [[2.3511714696357484, 48.860530149672314]], ""type"": ""MultiPoint""}";48.860530149672314, 2.3511714696357484
SANISETTE;;88t BD DE PORT-ROYAL;75005;24/24h;Oui;Non;;"{""coordinates"": [[2.3387829995144718, 48.83920299969486]], ""type"": ""MultiPoint""}";48.83920299969486, 2.3387829995144718
SANISETTE;;8 RUE JEAN CALVIN;75005;24/24h;Oui;Non;;"{""coordinates"": [[2.3487011985673334, 48.84164503588513]], ""type"": ""MultiPoint""}";48.84164503588513, 2.3487011985673334
SANISETTE;;9 AV DES GOBELINS;75005;6h00  - 01h00;Oui;Non;;"{""coordinates"": [[2.3512007650461686, 48.83796332279405]], ""type"": ""MultiPoint""}";48.83796332279405, 2.3512007650461686
SANISETTE;;38 RUE VIGNON;75008;24/24h;Oui;Non;;"{""coordinates"": [[2.3265206696734824, 48.8725432502043]], ""type"": ""MultiPoint""}";48.8725432502043, 2.3265206696734824
SANISETTE;;154 RUE DU FAUBOURG SAINT-MARTIN;75010;24/24h;Oui;Non;;"{""coordinates"": [[2.360451692046805, 48.87575820398598]], ""type"": ""MultiPoint""}";48.87575820398598, 2.360451692046805
