,coord_x,coord_y,valeur,qualif,val_no2,val_pm10,val_o3,val_so2,val_pm25
0,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
1,652080,6862620,3,Bon,2.0,3.0,2.0,1.0,0
2,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
3,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
4,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
5,652080,6862620,4,Bon,2.0,4.0,3.0,1.0,0
6,652080,6862620,4,Bon,2.0,4.0,3.0,1.0,0
7,652080,6862620,5,Moyen,2.0,5.0,2.0,1.0,0
8,652080,6862620,5,Moyen,2.0,5.0,2.0,1.0,0
9,652080,6862620,2,Très bon,1.0,2.0,2.0,1.0,0
10,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
11,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
12,652080,6862620,3,Bon,3.0,3.0,2.0,1.0,0
13,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
14,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
15,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
16,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
17,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
18,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
19,652080,6862620,3,Bon,2.0,1.0,3.0,1.0,0
20,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
21,652080,6862620,3,Bon,3.0,3.0,2.0,1.0,0
22,652080,6862620,3,Bon,3.0,2.0,3.0,1.0,0
23,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
24,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
25,652080,6862620,3,Bon,3.0,2.0,3.0,1.0,0
26,652080,6862620,4,Bon,2.0,2.0,4.0,1.0,0
27,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
28,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
29,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
30,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
31,652080,6862620,4,Bon,2.0,4.0,2.0,1.0,0
32,652080,6862620,3,Bon,2.0,3.0,2.0,1.0,0
33,652080,6862620,3,Bon,1.0,1.0,3.0,1.0,0
34,652080,6862620,3,Bon,3.0,2.0,3.0,1.0,0
35,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
36,652080,6862620,5,Moyen,3.0,5.0,2.0,1.0,0
37,652080,6862620,4,Bon,3.0,4.0,2.0,1.0,0
38,652080,6862620,4,Bon,2.0,4.0,2.0,1.0,0
39,652080,6862620,5,Moyen,3.0,5.0,2.0,1.0,0
40,652080,6862620,4,Bon,2.0,4.0,1.0,1.0,0
41,652080,6862620,4,Bon,2.0,4.0,1.0,1.0,0
42,652080,6862620,4,Bon,2.0,4.0,1.0,1.0,0
43,652080,6862620,3,Bon,2.0,3.0,1.0,1.0,0
44,652080,6862620,5,Moyen,2.0,5.0,1.0,1.0,0
45,652080,6862620,7,Médiocre,2.0,7.0,1.0,1.0,0
46,652080,6862620,4,Bon,3.0,4.0,2.0,1.0,0
47,652080,6862620,3,Bon,3.0,3.0,2.0,1.0,0
48,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
49,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
50,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
51,652080,6862620,3,Bon,2.0,1.0,3.0,1.0,0
52,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
53,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
54,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
55,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
56,652080,6862620,2,Très bon,1.0,1.0,2.0,1.0,0
57,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
58,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
59,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
60,652080,6862620,3,Bon,2.0,3.0,2.0,1.0,0
61,652080,6862620,3,Bon,3.0,3.0,2.0,1.0,0
62,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
63,652080,6862620,3,Bon,3.0,2.0,2.0,1.0,0
64,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
65,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
66,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
67,652080,6862620,3,Bon,3.0,2.0,2.0,1.0,0
68,652080,6862620,3,Bon,2.0,3.0,2.0,1.0,0
69,652080,6862620,4,Bon,2.0,4.0,1.0,1.0,0
70,652080,6862620,4,Bon,2.0,4.0,1.0,1.0,0
71,652080,6862620,5,Moyen,2.0,5.0,1.0,1.0,0
72,652080,6862620,3,Bon,2.0,3.0,2.0,1.0,0
73,652080,6862620,2,Très bon,1.0,2.0,2.0,1.0,0
74,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
75,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
76,652080,6862620,4,Bon,2.0,4.0,2.0,1.0,0
77,652080,6862620,3,Bon,2.0,3.0,2.0,1.0,0
78,652080,6862620,5,Moyen,2.0,5.0,1.0,1.0,0
79,652080,6862620,4,Bon,2.0,4.0,1.0,1.0,0
80,652080,6862620,5,Moyen,2.0,5.0,1.0,1.0,0
81,652080,6862620,7,Médiocre,2.0,7.0,1.0,1.0,0
82,652080,6862620,8,Mauvais,3.0,8.0,1.0,1.0,0
83,652080,6862620,5,Moyen,3.0,5.0,2.0,1.0,0
84,652080,6862620,4,Bon,2.0,4.0,1.0,1.0,0
85,652080,6862620,4,Bon,3.0,4.0,2.0,1.0,0
86,652080,6862620,4,Bon,2.0,4.0,2.0,1.0,0
87,652080,6862620,4,Bon,2.0,4.0,3.0,1.0,0
