arrondissement,genre,espece,hauteur,geo_point_2d
18,Platanus,x hispanica,13,"48.90103785574912, 2.3617322445782647"
2,Platanus,x hispanica,10,"48.870474331777594, 2.3317947683634435"
12,Styphnolobium,japonicum,10,"48.83372024022959, 2.399653041560263"
20,Sorbus,aucuparia,5,"48.87123065024139, 2.4111840103167035"
12,Prunus,x subhirtella,0,"48.82132215265683, 2.454196774677548"
13,Ilex,sp.,4,"48.82684866325479, 2.3609922356397868"
14,Aesculus,hippocastanum,6,"48.83029242670217, 2.3168567098150734"
7,Aesculus,hippocastanum,18,"48.85914084413215, 2.320002016592887"
18,Acer,negundo,8,"48.88789087528821, 2.366063406494278"
15,Fagus,sylvatica,0,"48.84339226345775, 2.274359313390291"
7,Tilia,tomentosa,18,"48.86125627123825, 2.3123274210759526"
12,Corylus,colurna,8,"48.82037975832433, 2.450556467527458"
16,Prunus,serrulata,4,"48.85963212056787, 2.28882483063694"
14,Tilia,x flavescens,8,"48.83542278052089, 2.3319275644571253"
19,Tilia,tomentosa,0,"48.88120550250698, 2.398506761322464"
20,Euonymus,europaeus,4,"48.85961982856508, 2.3921993078116595"
8,Platanus,x hispanica,17,"48.87612832911847, 2.3193596867694994"
8,Aesculus,hippocastanum,16,"48.86753621312824, 2.3011106946045143"
12,Aesculus,hippocastanum,20,"48.834947159095854, 2.4461255481328874"
16,Tilia,tomentosa,8,"48.84822112291432, 2.259842495682591"
19,Platanus,x hispanica,15,"48.879214786245164, 2.383577082405097"
13,Platanus,x hispanica,14,"48.822355540387285, 2.372003984009674"
15,Betula,utilis,0,"48.841046773475455, 2.2725462240067866"
15,Acer,pseudoplatanus,8,"48.82965563541197, 2.271832613916755"
20,Acer,pseudoplatanus,14,"48.861919410885456, 2.3913905466759395"
11,Platanus,x hispanica,15,"48.85294827497864, 2.3880884980639787"
12,Tilia,cordata,14,"48.826956375812394, 2.4642286072475965"
12,Platanus,x hispanica,15,"48.83895179504162, 2.3875928190566644"
17,Platanus,x hispanica,16,"48.890286609654304, 2.2991903769622763"
12,Tilia,americana,10,"48.83987231769206, 2.3776829561760637"
19,Toona,sinensis,10,"48.88180214106413, 2.3717808585985156"
4,Platanus,x hispanica,20,"48.85294810241623, 2.3579396030674804"
12,Platanus,orientalis,5,"48.84168578361347, 2.386742786921334"
12,Fraxinus,excelsior,10,"48.84492973508665, 2.4058738521568017"
12,Corylus,avellana,5,"48.836780595811454, 2.408691257873593"
20,Prunus,mahaleb,5,"48.85575211920735, 2.411966010390079"
18,Populus,alba,6,"48.90007207436754, 2.362298231539975"
15,Acer,platanoides,0,"48.82913897825811, 2.268940980320886"
12,Arbutus,unedo,5,"48.8372306805627, 2.4445651481397497"
13,Acer,tataricum subsp. ginnala,5,"48.821495181737085, 2.3484558331739374"
16,Platanus,x hispanica,5,"48.874927611411955, 2.290625668197772"
14,Pistacia,sp.,4,"48.82494466472545, 2.3028050704400544"
15,Platanus,x hispanica,15,"48.85618426590681, 2.2900445614632927"
18,Platanus,x hispanica,20,"48.89167891972856, 2.345455631344475"
15,Aesculus,hippocastanum,7,"48.836285478436984, 2.303641266981196"
15,Tilia,x euchlora,12,"48.836878993033196, 2.29741293046368"
13,Tilia,cordata,10,"48.82985129792419, 2.382628272159098"
19,Platanus,x hispanica,5,"48.87651707785295, 2.3775765450696396"
14,Cedrus,atlantica,22,"48.82281763347094, 2.3383274852556406"
16,Acer,cappadocicum,18,"48.84782643037847, 2.2546432901403533"
12,Taxus,baccata,0,"48.82173570565306, 2.456734631995971"
16,Acer,pseudoplatanus,17,"48.85717995246504, 2.2684501378538764"
8,Aesculus,hippocastanum,15,"48.86488796657645, 2.3114873455440605"
13,Parrotia,persica,5,"48.81956172294604, 2.359542052516465"
19,Platanus,x hispanica,5,"48.885236967615484, 2.3930418934392814"
16,Aesculus,hippocastanum,6,"48.85818087489926, 2.270228288096575"
15,Styphnolobium,japonicum,17,"48.82754816574269, 2.296632441506711"
16,Aesculus,x carnea,8,"48.86408183109703, 2.273224144091535"
13,Liquidambar,styraciflua,5,"48.82675850178077, 2.380238504055063"
19,Celtis,australis,15,"48.89115442801107, 2.385724615557351"
19,Robinia,pseudoacacia,12,"48.8805553396282, 2.374951779012273"
19,Pinus,pinea,4,"48.89019719909805, 2.3981376285409413"
10,Platanus,x hispanica,10,"48.87424275044464, 2.3571737221034184"
8,Phellodendron,amurense,11,"48.8796024267602, 2.3099823590936603"
14,Platanus,x hispanica,15,"48.82557560438889, 2.335596530895262"
19,Styphnolobium,japonicum,15,"48.899002528409795, 2.3833185601989886"
12,Tilia,tomentosa,10,"48.849468610590826, 2.3680527701917105"
