,id,type,nom,arrondissement,geo_point_2d
2,486682,bus,Gare de Lyon - Charolais (Hall 2 - Voie 23),12,"48.84404226337005, 2.377536649333528"
29,494233,bus,Marcadet - Poissoniers,18,"48.89182587755338, 2.349101910578448"
38,8448,bus,Lachambeaudie,12,"48.835892042427, 2.3858491629007332"
39,27046,bus,Bercy - Aréna,12,"48.83784174286751, 2.38198411968264"
40,40001,bus,Montempoivre,12,"48.83993728535028, 2.4086776936457928"
41,39396,bus,Gare de Lyon,12,"48.84409936411969, 2.3729712535944745"
42,39471,bus,Baron Le Roy (rue),12,"48.834151995592265, 2.3885262258060695"
79,36503,bus,Pyrénées - Docteur Netter,20,"48.84756321893565, 2.4067379083577136"
86,24703,bus,Pyramides - Tuileries,1,"48.86399398286174, 2.331606330722281"
88,10099,bus,Roseraie,12,"48.81771814723072, 2.4510669925149333"
89,24828,bus,Hôpital Saint-Antoine,12,"48.846710648913756, 2.382219611325441"
90,24804,bus,Tourelle - Daumesnil,12,"48.839413148011495, 2.4304014561571687"
91,24859,bus,Porte de Bagnolet,20,"48.864744869402024, 2.4093912000089923"
94,36947,bus,Hôtel de Ville,4,"48.85725702356228, 2.352723071499707"
97,10299,bus,Concorde,8,"48.86707308708157, 2.321015585498974"
100,22584,bus,Château de Vincennes,12,"48.84398808142819, 2.441252178424375"
106,22718,bus,Gare Saint-Lazare,8,"48.87513305423861, 2.324523577495512"
107,22801,bus,Gare de Lyon - Diderot,12,"48.84569334181791, 2.3733744947737603"
108,427820,bus,Porte Maillot - Grande Armée,17,"48.87705398450601, 2.28517608996202"
110,413063,bus,Baron le Roy,12,"48.83044301694526, 2.393119619142401"
115,42045,bus,Richelieu - Drouot,9,"48.8718579982924, 2.338758349860984"
119,29284,bus,Argentine,17,"48.875950527340066, 2.288654390760252"
121,422537,bus,Châtelet - Quai de Gesvres,4,"48.856810761980846, 2.348380846441519"
122,483429,bus,Les Sablons,16,"48.87893197007903, 2.2700015306229613"
131,463943,bus,Porte Dorée,12,"48.83550600115149, 2.4073792145341697"
132,27222,bus,Argentine,16,"48.87558296115629, 2.2888502921562655"
146,27333,bus,Concorde - Cours la Reine,8,"48.86563797044876, 2.320107333486258"
147,27334,bus,Champs-Élysées - Clemenceau,8,"48.867881663214064, 2.3129892448211056"
159,39543,bus,Carrefour de Beauté,12,"48.82783909407519, 2.463628567286284"
163,39546,bus,Parc Floral,12,"48.840413032825765, 2.438347511781403"
187,39793,bus,Châtelet,4,"48.85772662715398, 2.348110429494286"
188,37115,bus,Auber,9,"48.872302787407335, 2.329795528739103"
190,39850,bus,Daumesnil - Diderot,12,"48.84658459304723, 2.376988470102093"
196,422968,bus,Maréchal Leclerc,12,"48.818319485846075, 2.439171113960594"
