,id,arrondissement,annee_financement,nombre_logement,geo_point_2d
0,2000028,18,2001,6,"48.884213899547184, 2.3533469673677816"
1,2000097,12,2002,24,"48.83542282012853, 2.4020396805642026"
2,2000113,7,2002,15,"48.85957020973672, 2.307226483261079"
3,2000157,15,2002,92,"48.84300703013455, 2.2758199012674734"
4,2000161,3,2002,16,"48.86824595023758, 2.3550205543434504"
5,2000172,3,2002,39,"48.866528340254874, 2.3635346455168578"
6,2000174,17,2002,121,"48.884664399630495, 2.3090484989830755"
7,2000176,15,2002,55,"48.84398551966323, 2.2856492144407357"
8,2000177,12,2002,35,"48.845767589852834, 2.405808466163551"
9,2000194,20,2003,20,"48.85534178026296, 2.4100153815301413"
10,2000241,9,2003,28,"48.87168240016268, 2.3339845542732167"
11,2000283,20,2003,1,"48.8730006797824, 2.3838310971515106"
12,2000303,12,2004,9,"48.84550974974028, 2.403991158495159"
13,2000307,18,2004,3,"48.89209748012537, 2.340767584398051"
14,2000308,15,2004,4,"48.84068979975365, 2.302516143553558"
15,2000313,18,2004,32,"48.8945508100154, 2.336840716264254"
16,2000360,10,2004,67,"48.88327835042769, 2.3510944293404257"
17,2000404,10,2004,15,"48.87027312963257, 2.362256136171978"
18,2000438,10,2004,25,"48.877115280188036, 2.350820465004039"
19,2000459,12,2005,13,"48.83906102024777, 2.3958251402072848"
20,2000470,16,2005,2,"48.865350330253484, 2.292076590469683"
21,2000484,5,2005,2,"48.845112190362954, 2.3542064405625402"
22,2000487,20,2005,16,"48.86933213004074, 2.39219571850461"
23,2000493,13,2005,23,"48.83015794999378, 2.3802864335318903"
24,2000504,20,2005,7,"48.8715163303353, 2.3987201040841106"
25,2000515,18,2005,25,"48.888750090401814, 2.346320507135922"
26,2000524,12,2005,23,"48.84825726024567, 2.378585551357808"
27,2000535,18,2005,9,"48.88948580960358, 2.355136971665951"
28,2000545,11,2005,300,"48.85401412984623, 2.3827372712790336"
29,2000555,15,2005,5,"48.83702007992683, 2.2838086362422456"
30,2000562,14,2005,20,"48.83143416000969, 2.3227106715220023"
31,2000624,12,2006,41,"48.84581330044003, 2.3798461374836846"
32,2000625,19,2006,56,"48.89344512976325, 2.3770447973415076"
33,2000654,13,2006,49,"48.824951510413015, 2.3879209371280816"
34,2000696,11,2006,3,"48.858795310075585, 2.369330756580323"
35,2000706,18,2006,1,"48.88838557962134, 2.3617744755262393"
36,2000735,15,2006,50,"48.83870085017224, 2.293450430354241"
37,2000792,12,2007,8,"48.84739171011039, 2.3885430733639437"
38,2000794,20,2007,4,"48.87430636017309, 2.3957538563964653"
39,2000811,13,2007,5,"48.829892280110045, 2.353377798487491"
40,2000812,13,2007,3,"48.83361238957054, 2.344826722590201"
41,2000841,18,2007,6,"48.88883910018022, 2.3583652791810734"
42,2000860,18,2007,4,"48.89542844002338, 2.33090749149667"
43,2000869,14,2007,2,"48.828456500290756, 2.3160225185774403"
44,2000893,19,2007,7,"48.892887280031495, 2.373964990428512"
