,arrondissement,geo_point_2d
0,1,"48.859880009699, 2.348837291743346"
1,1,"48.85797799960644, 2.346546000463207"
2,2,"48.86683600014275, 2.352738999879689"
3,3,"48.86310049921555, 2.3527375754066404"
4,7,"48.8550086702999, 2.300448430216667"
5,7,"48.856408667091344, 2.29647335602558"
6,11,"48.84955890034039, 2.396263709726177"
7,11,"48.86230178931773, 2.379077444929717"
8,11,"48.86339431995135, 2.3710217801851257"
9,12,"48.840437950402396, 2.4046253902759087"
10,12,"48.84560120476427, 2.384912972073826"
11,13,"48.837917259583676, 2.3556394432228274"
12,14,"48.824990362260834, 2.3113320770311945"
13,14,"48.83231752026011, 2.330892799644393"
14,15,"48.83951925438511, 2.291312959369181"
15,15,"48.83967060897521, 2.301967340001457"
16,16,"48.86215396969058, 2.2863897801713504"
17,17,"48.88566793999978, 2.3263190502369855"
18,17,"48.88848120036745, 2.3157873495308134"
19,18,"48.89147643788821, 2.349719392561825"
20,19,"48.88580046025125, 2.375797710272781"
21,20,"48.87072469031389, 2.4091877394738552"
22,20,"48.849111889963396, 2.402572690060961"
23,20,"48.85834670022397, 2.414721757553042"
24,20,"48.852744600229045, 2.4089765693744964"
25,10,"48.878782534922934, 2.3523454278624807"
26,8,"48.86950302299618, 2.324805261449435"
27,2,"48.86876107961352, 2.3432268798902363"
28,4,"48.857838826525686, 2.3558231751507304"
29,4,"48.85820816963101, 2.349798140633793"
30,4,"48.85402526033694, 2.3493967701433607"
31,8,"48.870154408466966, 2.3102039829026175"
32,10,"48.876295040260096, 2.3614031698854454"
33,10,"48.87232357037209, 2.369601819449488"
34,11,"48.857471239658345, 2.3924468693368377"
35,13,"48.8430900982869, 2.364351495785611"
36,16,"48.84598982455429, 2.269067673806836"
37,17,"48.88150258030886, 2.2955318704563696"
38,18,"48.891793842657734, 2.3352347129046858"
39,18,"48.88419763026975, 2.3551063093276956"
40,18,"48.900707840162134, 2.340244949688719"
41,18,"48.89346588547636, 2.336828316949709"
42,19,"48.88869616961867, 2.3739278903065597"
43,20,"48.860019473421566, 2.4010307407580225"
44,20,"48.8659772081648, 2.387734405041768"
45,1,"48.86316461967931, 2.3418321593376605"
46,4,"48.85381594968281, 2.3492422105544235"
47,4,"48.860530149672314, 2.3511714696357484"
48,5,"48.83920299969486, 2.3387829995144718"
49,5,"48.84164503588513, 2.3487011985673334"
50,5,"48.83796332279405, 2.3512007650461686"
51,8,"48.8725432502043, 2.3265206696734824"
52,10,"48.87575820398598, 2.360451692046805"
53,10,"48.872213120387165, 2.3649209802714934"
54,11,"48.85719778975021, 2.3809342996910416"
55,12,"48.839177593378466, 2.392296009601658"
56,12,"48.84498353498292, 2.380363878852901"
57,12,"48.84369271991485, 2.4018833103433606"
58,13,"48.83113053284524, 2.344514861986152"
59,13,"48.83965357581384, 2.3617632662460664"
60,14,"48.832575414100425, 2.3114233684151264"
61,15,"48.83193366309196, 2.3027321990420595"
62,15,"48.83808857956524, 2.2779890802420524"
63,15,"48.84260681085283, 2.292144430583758"
64,15,"48.846242949951865, 2.277583649737332"
65,15,"48.85105850010432, 2.29511682975006"
66,16,"48.8512600002834, 2.2753980603656103"
67,16,"48.86236343343986, 2.2682332313147926"
68,18,"48.899395730643995, 2.3444620160460223"
69,19,"48.89096865963239, 2.3772508105743424"
70,19,"48.87621334987615, 2.3805427406510353"
71,20,"48.855581019788346, 2.409968820040893"
72,20,"48.87057641036934, 2.3982091094263556"
73,18,"48.900331127067076, 2.3499052416517388"
74,1,"48.860271460247645, 2.3464805095464514"
75,2,"48.8713109955862, 2.343653618162736"
76,4,"48.85525264233464, 2.3605031060418042"
77,6,"48.85274059887381, 2.3345997926619524"
78,8,"48.87478120266724, 2.303208062843769"
79,9,"48.88233197703353, 2.3414303648250145"
80,10,"48.871113708092246, 2.3609976172994958"
81,11,"48.858288680417445, 2.380221250319334"
82,13,"48.81997259014283, 2.3477257035418844"
83,13,"48.818985722666376, 2.3575761153984485"
84,13,"48.8302715609474, 2.375264378205611"
85,13,"48.8349648196452, 2.3463720925811002"
86,14,"48.823856330164695, 2.3181684095530226"
87,16,"48.85720156259947, 2.266699157635957"
88,18,"48.88324626989502, 2.34585631007251"
89,18,"48.896420040146886, 2.334585770080448"
90,18,"48.894149368803426, 2.3517642408411996"
91,19,"48.89731242697709, 2.3856646907409584"
92,1,"48.8573418185966, 2.3461220503761924"
93,19,"48.885315616297966, 2.3720342266732533"
94,10,"48.872078281951275, 2.3644474081668942"
95,10,"48.87730188795489, 2.365681171241952"
96,1,"48.862354299056456, 2.342209067209261"
97,3,"48.86006812046211, 2.3607034225566443"
98,7,"48.85433106102255, 2.305108938691384"
99,10,"48.86900407216029, 2.3562094060362138"
100,12,"48.84601383265195, 2.36705919612458"
101,13,"48.82669979957354, 2.34180605964705"
102,13,"48.82820385907834, 2.3584748127246966"
103,13,"48.829383309661424, 2.365296559999963"
104,13,"48.83258966979944, 2.3561660993342746"
105,14,"48.825257580032286, 2.3157650594699093"
106,14,"48.827958000189895, 2.3056599996663603"
107,15,"48.83095493623403, 2.29196019395531"
108,16,"48.86518154213013, 2.2751759028836736"
109,17,"48.89581494010946, 2.328045990172873"
110,18,"48.896914000104445, 2.3594679996442203"
111,18,"48.89578953031229, 2.3459839897238783"
112,18,"48.89902262440238, 2.3377140159759064"
113,18,"48.8846566198989, 2.3590935203185985"
114,20,"48.86676587043387, 2.383375470236812"
115,20,"48.853321128256255, 2.4092418044983024"
116,20,"48.86495111519072, 2.3947408359768394"
117,20,"48.8719383843446, 2.392060542897146"
118,20,"48.86486057027057, 2.40078025005579"
119,2,"48.86485212509189, 2.3516230682701407"
120,2,"48.86815451974525, 2.3484038797700055"
121,5,"48.83742581925089, 2.353552284496209"
122,7,"48.862507469839976, 2.3108999801659924"
123,8,"48.865200348529136, 2.3002047617366785"
124,8,"48.87539815030989, 2.315115560580487"
125,9,"48.87761558008978, 2.3270349599314173"
126,9,"48.883436114713724, 2.3474332621079474"
127,10,"48.87619304177504, 2.3722055512556888"
128,10,"48.88182577240791, 2.3532414580997556"
129,11,"48.86626678366549, 2.3650066607008573"
130,12,"48.844464990230776, 2.3774406202459364"
131,12,"48.833236949696065, 2.403995869455008"
132,12,"48.84743060008, 2.395490839667198"
133,13,"48.83064130218752, 2.3533654249275298"
134,15,"48.8359999801363, 2.2933952106678475"
135,15,"48.84091206960563, 2.3002932395726394"
136,15,"48.8362383480222, 2.281664116762553"
137,16,"48.868312908393186, 2.293729852939279"
138,17,"48.88944353637257, 2.3189152969267046"
139,17,"48.883117579668074, 2.3252355488106597"
140,18,"48.8992065603752, 2.343965879583295"
141,19,"48.8830322569699, 2.3814316206979886"
142,20,"48.87365665991369, 2.3897390605148714"
143,20,"48.87142182524445, 2.385813914923301"
144,2,"48.87006448867288, 2.329370402326593"
145,4,"48.86022086454177, 2.3503813490779786"
146,4,"48.853217578867934, 2.359601442265343"
147,8,"48.8705833102002, 2.3231303103257135"
148,10,"48.87075945620254, 2.3545751867028915"
149,12,"48.84410273041021, 2.411225900653839"
150,13,"48.82683871216017, 2.3645810130487286"
151,13,"48.83251036993272, 2.361664330279817"
152,14,"48.834811888363355, 2.3321347950389177"
153,15,"48.842869441319436, 2.2978173322185307"
154,16,"48.83985154023166, 2.263085190307671"
155,18,"48.88850274032641, 2.3494231598513053"
156,18,"48.88598374684209, 2.3563055337277694"
157,18,"48.90102276903261, 2.335413090089293"
158,18,"48.89525799997793, 2.3595610006604915"
159,18,"48.88407586034174, 2.3533560602228505"
160,20,"48.875929670133935, 2.4069075498963546"
161,1,"48.857853765241515, 2.344286199307626"
162,2,"48.86893604363467, 2.340638904107697"
163,6,"48.84613553023314, 2.3400458998964164"
164,7,"48.85511594092089, 2.29590136016446"
165,10,"48.872602947321305, 2.364076591485933"
166,10,"48.88221759942802, 2.350654325684247"
167,11,"48.854880470415004, 2.372862799872562"
168,11,"48.86174757970383, 2.372662050252069"
169,14,"48.82455647812988, 2.3395235517418174"
170,14,"48.82623964028021, 2.305356120167381"
171,14,"48.82263499886505, 2.3288421633909677"
172,14,"48.82435191815753, 2.3211241536899676"
173,15,"48.82827096984683, 2.3033632895163656"
174,16,"48.841226019795094, 2.2546109800211234"
175,17,"48.894839740013225, 2.3142998101080394"
176,18,"48.89634010030818, 2.352985459808387"
177,18,"48.88513808031839, 2.3443483005630807"
178,18,"48.88735544006147, 2.3435252796531008"
179,19,"48.88817928019114, 2.373752859423603"
180,19,"48.88066729099003, 2.4004340719157264"
181,19,"48.88725559943765, 2.3758405806095264"
182,19,"48.89897607030185, 2.386777080170814"
183,19,"48.89770445004778, 2.376598858575474"
184,18,"48.88626726174863, 2.3438632119121188"
185,1,"48.863353670075966, 2.3434707650333717"
186,3,"48.8649899879856, 2.3601326074110704"
187,6,"48.84176486833784, 2.3374910468514507"
188,7,"48.8498453371803, 2.323063552921906"
189,7,"48.853583093314114, 2.311350229551327"
190,9,"48.88396220009815, 2.331781480594949"
191,10,"48.87578990007386, 2.356278328119456"
192,10,"48.87461224628995, 2.362740460553247"
193,11,"48.86058286366867, 2.3746020301147834"
194,12,"48.84925012815484, 2.3711511020452147"
195,12,"48.85084404067458, 2.3702965467049255"
196,13,"48.82978921458303, 2.3689780255708826"
197,13,"48.82392361704458, 2.3581582935512326"
198,14,"48.83393975224735, 2.314572922308302"
199,14,"48.82896741987313, 2.3279545500774907"
200,15,"48.84785234410818, 2.3020872897520017"
201,15,"48.857245079877, 2.291109600174432"
202,18,"48.900574389814324, 2.3350774206732563"
203,19,"48.89473761038989, 2.3820286700913247"
204,20,"48.85705511960531, 2.404535359886351"
205,20,"48.86840091043057, 2.3898740200411486"
206,8,"48.86726257414111, 2.3170898782796265"
207,4,"48.853497166178684, 2.3539681991391688"
208,4,"48.85354958094415, 2.353901655431612"
209,3,"48.86275591994191, 2.359338319501974"
210,6,"48.85445923466649, 2.330990164315515"
211,10,"48.87873403387514, 2.35859967823568"
212,10,"48.8700483882856, 2.3666019505046982"
213,10,"48.87028968983, 2.365840849892288"
214,11,"48.85353151723508, 2.369806795080443"
215,11,"48.858681269679764, 2.383949180130828"
216,11,"48.86489990972804, 2.3760442193800495"
217,14,"48.83033843997747, 2.333811650559255"
218,14,"48.84218790234824, 2.3231746857387927"
219,15,"48.84734393960079, 2.310955400269104"
220,15,"48.834632750321994, 2.284108980172016"
221,16,"48.842243492010866, 2.256182157824614"
222,17,"48.87497781973921, 2.295708459533681"
223,19,"48.876213017904476, 2.39300897092974"
224,19,"48.87407622030231, 2.376366069336111"
225,20,"48.854738450409805, 2.3959370704777183"
226,20,"48.853777409753576, 2.411529539890345"
227,20,"48.866263600436376, 2.389755970567651"
228,20,"48.8648991097497, 2.3998245197161645"
229,4,"48.84993837956165, 2.3667368498712107"
230,6,"48.85139748917947, 2.342811916576215"
231,7,"48.85162830960059, 2.3251783798649344"
232,8,"48.87464081316766, 2.302369222499267"
233,10,"48.87625147993822, 2.3681965413714603"
234,10,"48.878154620424056, 2.3616443599377392"
235,11,"48.853898133246304, 2.3696602449729944"
236,11,"48.865686440171785, 2.3809617906736102"
237,11,"48.857057285680895, 2.3793533607599415"
238,13,"48.82835038018266, 2.3766285605692783"
239,14,"48.832021970806686, 2.3253952408078704"
240,15,"48.83909114004663, 2.282564519874863"
241,15,"48.836418409015906, 2.309845145561051"
242,15,"48.846535300123975, 2.2847800195351837"
243,15,"48.85285205531267, 2.298003386713036"
244,15,"48.846525211422104, 2.3169513741933283"
245,18,"48.88563393973771, 2.3534124800096134"
246,19,"48.88350023036066, 2.383424029648691"
247,19,"48.88896755024106, 2.3930770002762394"
248,19,"48.87937324036423, 2.384428150422617"
249,7,"48.86295077664941, 2.309290127936604"
250,2,"48.86680528054313, 2.349580064370847"
251,3,"48.86112295330808, 2.367031011085819"
252,5,"48.849386001034276, 2.354806468810374"
253,5,"48.843136125935494, 2.352093891349651"
254,5,"48.84433258685029, 2.360621622793665"
255,11,"48.85211670027965, 2.3936961497689855"
256,11,"48.85326810959419, 2.387873519781094"
257,12,"48.84711734976458, 2.384211890092088"
258,12,"48.84620570140301, 2.4112792325849077"
259,12,"48.84528947206372, 2.369256231168826"
260,12,"48.83961637977757, 2.378220819514561"
261,12,"48.83892295996266, 2.3895801099469836"
262,13,"48.82688804027847, 2.351285109440724"
263,13,"48.83519445972887, 2.368791080223767"
264,13,"48.82912783296066, 2.360715755156382"
265,14,"48.82444816501981, 2.3385545363835196"
266,15,"48.84481110000147, 2.2904813398226973"
267,15,"48.8331323722963, 2.299515022327501"
268,16,"48.8477648661899, 2.2737275679564903"
269,17,"48.88403572576656, 2.304219542425977"
270,18,"48.89191915012715, 2.3271441894520652"
271,18,"48.88820460018989, 2.3258966301978523"
272,18,"48.89048509484991, 2.3546036334652487"
273,18,"48.884213919718384, 2.3289732106455046"
274,19,"48.88427299956943, 2.3673839993875667"
275,19,"48.878431519680824, 2.3739563302266076"
276,19,"48.88388667994655, 2.3978540997785553"
277,7,"48.862608094082944, 2.3195679829481675"
278,4,"48.852020025542224, 2.3606999770850083"
279,1,"48.8587512435453, 2.3404727648559027"
280,7,"48.86181155586209, 2.322282598634098"
281,4,"48.84949314518947, 2.366127231209129"
282,5,"48.840388950270686, 2.3612776198870487"
283,5,"48.84326241657103, 2.3507696760896644"
284,9,"48.882071559588404, 2.3391611103792562"
285,10,"48.8722577298704, 2.3766128103773125"
286,11,"48.85921237013349, 2.3890973106010205"
287,11,"48.8642475799719, 2.3794853395796856"
288,11,"48.84958955029908, 2.393638579937513"
289,11,"48.86727108016367, 2.3683485600920644"
290,13,"48.82267463015447, 2.3668310795657863"
291,13,"48.835834040607224, 2.360055425142085"
292,14,"48.83164517958003, 2.3201855997615803"
293,14,"48.83140661970409, 2.315754937434333"
294,14,"48.833045659984066, 2.33293275064136"
295,18,"48.89728300032829, 2.3590869996795547"
296,18,"48.89927590983574, 2.3405329497415814"
297,18,"48.901117819888164, 2.3444071799200783"
298,18,"48.887649013182454, 2.352753821712541"
299,19,"48.88578970004808, 2.370373600440795"
300,19,"48.88553162651268, 2.381025922477108"
301,20,"48.851425739480966, 2.411305753326754"
302,1,"48.86231677032192, 2.350206190334162"
303,2,"48.86366834961569, 2.3509618796632554"
304,4,"48.852653377545884, 2.3683648040436034"
305,5,"48.84623665526024, 2.3548756990385926"
306,9,"48.88271599957815, 2.343379000255218"
307,10,"48.877430999668945, 2.370872440283731"
308,10,"48.87716537959467, 2.3550858400466277"
309,11,"48.85042833045039, 2.3839941204708954"
310,11,"48.859369750240305, 2.3720189101424887"
311,12,"48.84050258024285, 2.392042110171296"
312,14,"48.833016629794244, 2.3311925898404904"
313,15,"48.84554285962441, 2.3019037901246304"
314,15,"48.844746982378766, 2.3110269832489267"
315,15,"48.84538815895439, 2.2921818408680767"
316,16,"48.84588812698018, 2.2559782096246916"
317,17,"48.88113853031676, 2.282954022865859"
318,18,"48.88912500041226, 2.3451110000948807"
319,18,"48.88450558264685, 2.3446663883337333"
320,18,"48.897772252951015, 2.341737582922179"
321,13,"48.83003143468847, 2.350974415222644"
322,7,"48.86261171372206, 2.319649407755046"
323,1,"48.86356576751969, 2.342476079891254"
324,6,"48.84223100003779, 2.337286000126423"
325,9,"48.881701192937015, 2.345438566227194"
326,10,"48.870491119778336, 2.3513797494728146"
327,10,"48.86840879578168, 2.363408720492826"
328,11,"48.86582386037762, 2.3693615494450615"
329,12,"48.847456423702475, 2.371802686682563"
330,12,"48.844162520299946, 2.4410949397955286"
331,12,"48.83652378906005, 2.404424188111438"
332,14,"48.82566662016202, 2.3150611306784765"
